date,narration,amount,type,reference,balance
2025-05-01,SWIGGY ORDER #812,420,debit,SW812,99580
2025-05-01,CLIENT PAYMENT - ACME CORP,120000,credit,ACM001,219580
2025-05-02,UBER TRIP - AIRPORT,1850,debit,UBR4421,217730
2025-05-02,IRCTC TICKET BOOKING,4200,debit,IRC2291,213530
2025-05-03,AWS INVOICE MAY 2025,12400,debit,AWS005,201130
2025-05-03,SALARY CREDIT MAY,85000,credit,SAL050,286130
2025-05-04,BSNL BROADBAND BILL,1499,debit,BSN041,284631
2025-05-05,ZOMATO DELIVERY ORDER,650,debit,ZOM871,283981
2025-05-05,DIGITALOCEAN INVOICE,2100,debit,DO021,281881
2025-05-06,APOLLO PHARMACY,1250,debit,APO011,280631
2025-05-06,FREELANCE PAYMENT - XYZ LTD,45000,credit,FRL006,325631
2025-05-07,GITHUB COPILOT SUBSCRIPTION,834,debit,GH007,324797
2025-05-07,ELECTRICITY BILL MSEB,2400,debit,MSEB07,322397
2025-05-08,AMAZON PURCHASE,3499,debit,AMZ008,318898
2025-05-08,HDFC CREDIT CARD PAYMENT,15000,debit,HDFC08,303898
2025-05-09,MAKEMYTRIP HOTEL,8200,debit,MMT009,295698
2025-05-09,REFUND - FLIPKART,599,credit,FLK009,296297
2025-05-10,NOTION SUBSCRIPTION,800,debit,NOT010,295497
2025-05-10,BOOKMYSHOW TICKETS,1200,debit,BMS010,294297
2025-05-11,JIO POSTPAID BILL,699,debit,JIO011,293598
2025-05-11,CONSULTING PAYMENT - ABC,30000,credit,CON011,323598
2025-05-12,MCDONALDS DRIVE THRU,430,debit,MCD012,323168
2025-05-12,PETROL PUMP - HPCL,2500,debit,HPP012,320668
2025-05-13,ZOOM SUBSCRIPTION,1350,debit,ZM013,319318
2025-05-13,SALARY CREDIT BONUS,10000,credit,BON013,329318
2025-05-14,UNKNOWN VENDOR XYZ,18000,debit,UNK014,311318
2025-05-15,UDEMY COURSE PURCHASE,1299,debit,UDM015,310019
